bookName,author
索拉里斯星,"[波兰]
            斯坦尼斯拉夫·莱姆"
超·杀人事件,"[日]
            东野圭吾"
微微一笑很倾城,顾漫
我在伊朗长大,"[伊朗]
            玛赞·莎塔碧"
ZOO,"[日]
            乙一"
伊比库斯的预言,后浪
纽约客,白先勇
情人(玛格丽特·杜拉斯),
欲望的金苹果,"[捷克]
            米兰·昆德拉"
一个陌生女人的来信,"[奥地利]
            斯蒂芬·茨威格"
叶嘉莹说汉魏六朝诗,"[加拿大]
            叶嘉莹"
鲁迅全集(1),鲁迅
等待戈多,"[爱尔兰]
            萨缪尔·贝克特"
槐聚心史,全球在地視野叢書
城门开,北岛
程序开发心理学,"[美]
            杰拉尔德·温伯格"
观点,"[英]
            威廉·萨默塞特·毛姆"
叶之震颤,"[英]
            威廉·萨默塞特·毛姆"
毛姆经典短篇集,"[英]
            威廉·萨默塞特·毛姆"
在中国屏风上,"[英]
            威廉·萨默塞特·毛姆"
客厅里的绅士,"[英]
            威廉·萨默塞特·毛姆"
总结,"[英]
            威廉·萨默塞特·毛姆"
爱德华·巴纳德的堕落,"[英]
            威廉·萨默塞特·毛姆"
巨匠与杰作,"[英]
            威廉·萨默塞特·毛姆"
剧院风情,"[英]
            威廉·萨默塞特·毛姆"
